,시도별,year,month,value,type,purpose
0,서울,2018,01,4389.0,승용,관용
1,부산,2018,01,1660.0,승용,관용
2,대구,2018,01,907.0,승용,관용
3,인천,2018,01,1440.0,승용,관용
4,광주,2018,01,745.0,승용,관용
5,대전,2018,01,637.0,승용,관용
6,울산,2018,01,615.0,승용,관용
7,세종,2018,01,305.0,승용,관용
8,경기,2018,01,6614.0,승용,관용
9,강원,2018,01,1718.0,승용,관용
10,충북,2018,01,1238.0,승용,관용
11,충남,2018,01,1706.0,승용,관용
12,전북,2018,01,1496.0,승용,관용
13,전남,2018,01,1869.0,승용,관용
14,경북,2018,01,2304.0,승용,관용
15,경남,2018,01,2230.0,승용,관용
16,제주,2018,01,771.0,승용,관용
17,서울,2018,01,2516720.0,승용,자가용
18,부산,2018,01,1042456.0,승용,자가용
19,대구,2018,01,935603.0,승용,자가용
20,인천,2018,01,1017506.0,승용,자가용
21,광주,2018,01,518146.0,승용,자가용
22,대전,2018,01,534573.0,승용,자가용
23,울산,2018,01,452044.0,승용,자가용
24,세종,2018,01,111278.0,승용,자가용
25,경기,2018,01,4308402.0,승용,자가용
26,강원,2018,01,549006.0,승용,자가용
27,충북,2018,01,585797.0,승용,자가용
28,충남,2018,01,781097.0,승용,자가용
29,전북,2018,01,652487.0,승용,자가용
30,전남,2018,01,626587.0,승용,자가용
31,경북,2018,01,1007586.0,승용,자가용
32,경남,2018,01,1267874.0,승용,자가용
33,제주,2018,01,276011.0,승용,자가용
34,서울,2018,01,123269.0,승용,영업용
35,부산,2018,01,44946.0,승용,영업용
36,대구,2018,01,23107.0,승용,영업용
37,인천,2018,01,249462.0,승용,영업용
38,광주,2018,01,17016.0,승용,영업용
39,대전,2018,01,13939.0,승용,영업용
40,울산,2018,01,8248.0,승용,영업용
41,세종,2018,01,566.0,승용,영업용
42,경기,2018,01,76910.0,승용,영업용
43,강원,2018,01,11771.0,승용,영업용
44,충북,2018,01,13327.0,승용,영업용
45,충남,2018,01,13717.0,승용,영업용
46,전북,2018,01,18022.0,승용,영업용
47,전남,2018,01,86462.0,승용,영업용
48,경북,2018,01,15427.0,승용,영업용
49,경남,2018,01,46697.0,승용,영업용
50,제주,2018,01,126825.0,승용,영업용
51,서울,2018,01,3378.0,승합,관용
52,부산,2018,01,1156.0,승합,관용
53,대구,2018,01,844.0,승합,관용
54,인천,2018,01,965.0,승합,관용
55,광주,2018,01,556.0,승합,관용
56,대전,2018,01,528.0,승합,관용
57,울산,2018,01,415.0,승합,관용
58,세종,2018,01,140.0,승합,관용
59,경기,2018,01,3691.0,승합,관용
60,강원,2018,01,1403.0,승합,관용
61,충북,2018,01,910.0,승합,관용
62,충남,2018,01,1079.0,승합,관용
63,전북,2018,01,1154.0,승합,관용
64,전남,2018,01,1418.0,승합,관용
65,경북,2018,01,1630.0,승합,관용
66,경남,2018,01,1775.0,승합,관용
67,제주,2018,01,387.0,승합,관용
68,서울,2018,01,107529.0,승합,자가용
69,부산,2018,01,39624.0,승합,자가용
70,대구,2018,01,29155.0,승합,자가용
71,인천,2018,01,42700.0,승합,자가용
72,광주,2018,01,18518.0,승합,자가용
73,대전,2018,01,20077.0,승합,자가용
74,울산,2018,01,13424.0,승합,자가용
75,세종,2018,01,3615.0,승합,자가용
76,경기,2018,01,188175.0,승합,자가용
77,강원,2018,01,26061.0,승합,자가용
78,충북,2018,01,26960.0,승합,자가용
79,충남,2018,01,37659.0,승합,자가용
80,전북,2018,01,28972.0,승합,자가용
81,전남,2018,01,31631.0,승합,자가용
82,경북,2018,01,43947.0,승합,자가용
83,경남,2018,01,48331.0,승합,자가용
84,제주,2018,01,12723.0,승합,자가용
85,서울,2018,01,16068.0,승합,영업용
86,부산,2018,01,6104.0,승합,영업용
87,대구,2018,01,4263.0,승합,영업용
88,인천,2018,01,12066.0,승합,영업용
89,광주,2018,01,2692.0,승합,영업용
90,대전,2018,01,2239.0,승합,영업용
91,울산,2018,01,2039.0,승합,영업용
92,세종,2018,01,328.0,승합,영업용
93,경기,2018,01,32781.0,승합,영업용
94,강원,2018,01,3310.0,승합,영업용
95,충북,2018,01,3772.0,승합,영업용
96,충남,2018,01,5563.0,승합,영업용
97,전북,2018,01,4470.0,승합,영업용
